pop	clust1	clust2	clust3
halfpounder	0.5624	0.2752	0.1624
halfpounder	0.0631	0.8867	0.0502
halfpounder	0.1462	0.2845	0.5693
halfpounder	0.3153	0.2021	0.4826
halfpounder	0.3735	0.2471	0.3794
halfpounder	0.2167	0.3867	0.3965
halfpounder	0.4295	0.1441	0.4264
halfpounder	0.5511	0.0848	0.3641
halfpounder	0.2182	0.5815	0.2003
halfpounder	0.5464	0.3571	0.0965
halfpounder	0.7728	0.1413	0.0859
halfpounder	0.4517	0.4553	0.0931
halfpounder	0.2194	0.3865	0.3942
halfpounder	0.2537	0.1657	0.5807
halfpounder	0.4618	0.3180	0.2202
halfpounder	0.6107	0.2034	0.1859
halfpounder	0.0582	0.8676	0.0742
halfpounder	0.5815	0.0926	0.3259
halfpounder	0.1043	0.2594	0.6363
halfpounder	0.1466	0.7888	0.0647
halfpounder	0.1324	0.3326	0.5350
halfpounder	0.1373	0.6136	0.2491
halfpounder	0.5250	0.1932	0.2818
halfpounder	0.3418	0.3570	0.3011
halfpounder	0.2074	0.4038	0.3888
halfpounder	0.6165	0.1429	0.2406
halfpounder	0.1040	0.1600	0.7360
halfpounder	0.1251	0.3525	0.5224
halfpounder	0.2085	0.3253	0.4663
halfpounder	0.5799	0.2872	0.1329
halfpounder	0.6247	0.1391	0.2362
halfpounder	0.7639	0.1064	0.1297
halfpounder	0.2478	0.3112	0.4410
halfpounder	0.3240	0.2146	0.4614
halfpounder	0.3200	0.1116	0.5684
halfpounder	0.6321	0.1193	0.2486
halfpounder	0.5290	0.1108	0.3602
halfpounder	0.8164	0.0810	0.1026
halfpounder	0.7772	0.1202	0.1026
halfpounder	0.7546	0.0779	0.1674
halfpounder	0.3403	0.0669	0.5928
halfpounder	0.5858	0.1870	0.2272
halfpounder	0.3238	0.1531	0.5231
halfpounder	0.1191	0.0896	0.7913
halfpounder	0.2823	0.0886	0.6291
halfpounder	0.7442	0.1271	0.1288
halfpounder	0.6460	0.1589	0.1951
halfpounder	0.3453	0.1641	0.4906
halfpounder	0.4561	0.1546	0.3894
halfpounder	0.3533	0.3316	0.3150
halfpounder	0.3542	0.4127	0.2331
halfpounder	0.4144	0.1369	0.4488
halfpounder	0.2664	0.6678	0.0658
halfpounder	0.7689	0.0537	0.1774
halfpounder	0.6301	0.2803	0.0896
halfpounder	0.2565	0.3148	0.4288
halfpounder	0.6712	0.1469	0.1820
halfpounder	0.0860	0.7970	0.1169
halfpounder	0.1468	0.1467	0.7065
halfpounder	0.4606	0.2703	0.2690
halfpounder	0.5259	0.1856	0.2884
halfpounder	0.5890	0.1014	0.3096
halfpounder	0.3842	0.1135	0.5023
halfpounder	0.0757	0.1560	0.7683
halfpounder	0.2107	0.6241	0.1652
halfpounder	0.0881	0.2704	0.6415
halfpounder	0.7534	0.0846	0.1620
halfpounder	0.2920	0.2563	0.4518
halfpounder	0.8239	0.0786	0.0975
halfpounder	0.2640	0.1234	0.6126
halfpounder	0.3709	0.1808	0.4484
halfpounder	0.1225	0.3943	0.4831
halfpounder	0.4506	0.2378	0.3116
halfpounder	0.5838	0.1974	0.2188
halfpounder	0.7548	0.0871	0.1581
halfpounder	0.2081	0.2698	0.5221
halfpounder	0.5896	0.1515	0.2589
halfpounder	0.7080	0.1825	0.1095
halfpounder	0.8270	0.0699	0.1031
halfpounder	0.2576	0.1324	0.6100
halfpounder	0.1907	0.5529	0.2564
halfpounder	0.3469	0.3556	0.2976
halfpounder	0.2174	0.0819	0.7007
halfpounder	0.4489	0.1759	0.3752
halfpounder	0.0822	0.8651	0.0527
halfpounder	0.7258	0.1118	0.1624
halfpounder	0.0825	0.7853	0.1322
halfpounder	0.4389	0.0518	0.5093
halfpounder	0.6262	0.1637	0.2101
halfpounder	0.4874	0.0873	0.4253
halfpounder	0.2981	0.0927	0.6092
halfpounder	0.3980	0.1738	0.4282
halfpounder	0.4294	0.2353	0.3352
halfpounder	0.7128	0.0537	0.2335
halfpounder	0.0520	0.9059	0.0421
halfpounder	0.1538	0.3497	0.4966
halfpounder	0.3507	0.2034	0.4460
halfpounder	0.8771	0.0308	0.0921
halfpounder	0.5352	0.1605	0.3043
halfpounder	0.6224	0.1765	0.2012
halfpounder	0.2255	0.2590	0.5155
halfpounder	0.5932	0.1170	0.2898
halfpounder	0.1824	0.1941	0.6235
halfpounder	0.4567	0.2450	0.2984
halfpounder	0.4045	0.1835	0.4121
halfpounder	0.6039	0.1855	0.2106
halfpounder	0.6279	0.1657	0.2064
halfpounder	0.2026	0.1149	0.6826
halfpounder	0.4259	0.1043	0.4698
halfpounder	0.5946	0.2235	0.1819
halfpounder	0.2922	0.0945	0.6133
halfpounder	0.4361	0.1405	0.4235
halfpounder	0.1175	0.0806	0.8019
halfpounder	0.2572	0.1795	0.5633
halfpounder	0.6428	0.1624	0.1948
halfpounder	0.8116	0.0757	0.1127
halfpounder	0.1795	0.1341	0.6864
halfpounder	0.0602	0.8147	0.1251
halfpounder	0.1704	0.4117	0.4179
halfpounder	0.5301	0.1313	0.3386
halfpounder	0.2798	0.2086	0.5117
halfpounder	0.5653	0.3055	0.1292
halfpounder	0.4099	0.0578	0.5323
halfpounder	0.3222	0.2786	0.3992
halfpounder	0.4494	0.1267	0.4238
halfpounder	0.6582	0.2359	0.1059
halfpounder	0.2385	0.0901	0.6714
halfpounder	0.1368	0.2869	0.5763
halfpounder	0.3312	0.2228	0.4460
halfpounder	0.1841	0.1558	0.6601
halfpounder	0.6652	0.1755	0.1594
halfpounder	0.5468	0.1666	0.2866
halfpounder	0.5848	0.2698	0.1454
halfpounder	0.4929	0.1225	0.3845
halfpounder	0.2632	0.2914	0.4455
halfpounder	0.0348	0.9280	0.0372
halfpounder	0.1691	0.2738	0.5571
halfpounder	0.1941	0.0805	0.7254
halfpounder	0.6072	0.1093	0.2835
halfpounder	0.1143	0.0757	0.8100
halfpounder	0.5241	0.1234	0.3525
halfpounder	0.1044	0.4483	0.4474
halfpounder	0.4226	0.0604	0.5170
halfpounder	0.1875	0.5975	0.2150
halfpounder	0.2823	0.2359	0.4818
halfpounder	0.4970	0.1373	0.3657
halfpounder	0.3371	0.2836	0.3793
halfpounder	0.2931	0.5230	0.1839
halfpounder	0.1461	0.4344	0.4194
halfpounder	0.4473	0.2720	0.2808
halfpounder	0.2781	0.1320	0.5899
halfpounder	0.7648	0.0572	0.1780
halfpounder	0.5800	0.2261	0.1939
halfpounder	0.5583	0.0786	0.3631
halfpounder	0.7791	0.0931	0.1278
halfpounder	0.2172	0.1935	0.5893
halfpounder	0.6227	0.1174	0.2599
halfpounder	0.6596	0.0543	0.2861
halfpounder	0.0588	0.8484	0.0928
halfpounder	0.3394	0.2680	0.3926
halfpounder	0.2727	0.1826	0.5447
halfpounder	0.5659	0.2377	0.1965
halfpounder	0.3319	0.4277	0.2404
halfpounder	0.6371	0.0880	0.2749
halfpounder	0.3744	0.1267	0.4988
halfpounder	0.5599	0.1437	0.2964
halfpounder	0.4311	0.0430	0.5259
halfpounder	0.3847	0.2773	0.3379
halfpounder	0.3270	0.0617	0.6113
halfpounder	0.1729	0.1906	0.6365
halfpounder	0.2320	0.4351	0.3328
halfpounder	0.2828	0.1199	0.5973
halfpounder	0.1939	0.2042	0.6019
halfpounder	0.0958	0.8227	0.0814
halfpounder	0.2027	0.4743	0.3230
halfpounder	0.4091	0.3927	0.1983
halfpounder	0.6022	0.2501	0.1477
halfpounder	0.8061	0.1097	0.0842
halfpounder	0.0739	0.0808	0.8453
halfpounder	0.1895	0.0648	0.7457
halfpounder	0.3729	0.0776	0.5495
halfpounder	0.3274	0.2389	0.4338
halfpounder	0.3780	0.1161	0.5059
halfpounder	0.3586	0.1271	0.5144
halfpounder	0.4114	0.4079	0.1807
halfpounder	0.2742	0.0908	0.6350
halfpounder	0.5616	0.3373	0.1011
halfpounder	0.2344	0.1251	0.6405
halfpounder	0.1796	0.4391	0.3812
halfpounder	0.2130	0.5137	0.2732
halfpounder	0.6824	0.1875	0.1301
halfpounder	0.6903	0.0931	0.2165
halfpounder	0.7664	0.1098	0.1238
halfpounder	0.7560	0.0703	0.1737
halfpounder	0.6036	0.1082	0.2882
halfpounder	0.1661	0.4161	0.4178
halfpounder	0.1851	0.6101	0.2049
halfpounder	0.1015	0.2153	0.6832
halfpounder	0.2767	0.3772	0.3461
halfpounder	0.4330	0.4093	0.1577
halfpounder	0.3635	0.0900	0.5465
halfpounder	0.1497	0.0632	0.7871
halfpounder	0.3609	0.4665	0.1727
halfpounder	0.8681	0.0631	0.0688
halfpounder	0.1677	0.1771	0.6552
halfpounder	0.3054	0.0510	0.6436
halfpounder	0.1213	0.1935	0.6852
halfpounder	0.6445	0.2254	0.1301
halfpounder	0.2742	0.1799	0.5459
halfpounder	0.2350	0.4668	0.2982
