pop	clust1	clust2	clust3	clust4	clust5
fall	0.0244	0.0273	0.0334	0.8847	0.0302	
fall	0.0254	0.1378	0.1066	0.0314	0.6988	
fall	0.0449	0.3124	0.4768	0.0231	0.1428	
fall	0.0811	0.0241	0.0297	0.8427	0.0224	
fall	0.0528	0.1657	0.3998	0.0831	0.2986	
fall	0.0744	0.2107	0.2162	0.1895	0.3093	
fall	0.0220	0.0187	0.0245	0.9105	0.0243	
fall	0.0703	0.5729	0.1053	0.0266	0.2249	
fall	0.0323	0.3381	0.3421	0.0930	0.1945	
fall	0.0983	0.0787	0.2374	0.4671	0.1185	
fall	0.0357	0.0358	0.0454	0.8450	0.0381	
fall	0.0348	0.0341	0.0265	0.8818	0.0227	
fall	0.0253	0.3083	0.3693	0.1866	0.1105	
fall	0.0909	0.0603	0.5330	0.0175	0.2983	
fall	0.0258	0.1266	0.1638	0.0405	0.6433	
fall	0.0457	0.1554	0.0658	0.6291	0.1040	
fall	0.0598	0.1931	0.3808	0.2985	0.0678	
fall	0.0594	0.3048	0.3428	0.0556	0.2373	
fall	0.0532	0.0522	0.0631	0.7560	0.0755	
fall	0.1103	0.4000	0.2150	0.0232	0.2515	
fall	0.0634	0.2918	0.3990	0.0525	0.1932	
fall	0.4986	0.1295	0.2992	0.0189	0.0539	
fall	0.0427	0.2666	0.1727	0.1037	0.4142	
fall	0.0414	0.4419	0.2531	0.0964	0.1672	
halfpounder	0.5458	0.1292	0.0931	0.0495	0.1824	
halfpounder	0.0777	0.2053	0.2936	0.0480	0.3753	
halfpounder	0.0334	0.1275	0.2288	0.0634	0.5469	
halfpounder	0.0743	0.1109	0.0722	0.6739	0.0686	
halfpounder	0.0748	0.0921	0.0985	0.6687	0.0660	
halfpounder	0.0246	0.0391	0.0586	0.8487	0.0290	
halfpounder	0.2165	0.0970	0.1878	0.2628	0.2360	
halfpounder	0.5544	0.1459	0.1861	0.0306	0.0830	
halfpounder	0.0264	0.0357	0.0532	0.8500	0.0348	
halfpounder	0.0488	0.5031	0.1893	0.0337	0.2251	
halfpounder	0.0197	0.0449	0.0390	0.8575	0.0389	
halfpounder	0.0415	0.1641	0.4172	0.0483	0.3290	
halfpounder	0.4487	0.1445	0.1242	0.1554	0.1272	
halfpounder	0.2748	0.3324	0.1818	0.0192	0.1918	
